country_or_area;year;comm_code;commodity;flow;trade_usd;weight_kg;quantity_name;quantity;category
Algeria;2016;010111;Horses, live pure-bred breeding;Export;126137;4800;No Quantity;;01_live_animals
Algeria;2016;010119;Horses, live except pure-bred breeding;Import;96656;19430;Number of items;6;01_live_animals
Algeria;2016;010290;Bovine animals, live, except pure-bred breeding;Import;85118623;25486676;Number of items;92927;01_live_animals
Algeria;2016;010511;Fowls, live domestic < 185 grams;Import;23609477;257096;No Quantity;;01_live_animals
Algeria;2016;010519;Poultry, live except domestic fowls, < 185 grams;Export;263;40;No Quantity;;01_live_animals
Algeria;2016;010519;Poultry, live except domestic fowls, < 185 grams;Import;3792216;42470;Number of items;1803105;01_live_animals
Algeria;2016;010600;Animals, live, except farm animals;Import;112005;5886;No Quantity;;01_live_animals
Algeria;2015;010111;Horses, live pure-bred breeding;Import;937987;91958;Number of items;222;01_live_animals
Algeria;2015;010111;Horses, live pure-bred breeding;Export;86724;2400;Number of items;6;01_live_animals
Algeria;2015;010119;Horses, live except pure-bred breeding;Import;77474;13072;Number of items;32;01_live_animals
Algeria;2015;010210;Bovine animals, live pure-bred breeding;Import;157629;10112;Number of items;18;01_live_animals
Algeria;2015;010290;Bovine animals, live, except pure-bred breeding;Import;78401044;22737487;Number of items;3651444;01_live_animals
Algeria;2015;010410;Sheep, live;Import;106069;53160;Number of items;1517;01_live_animals
Algeria;2015;010420;Goats, live;Import;374402;36760;Number of items;747;01_live_animals
Algeria;2015;010511;Fowls, live domestic < 185 grams;Import;19807271;221547;Number of items;5255108;01_live_animals
